Date,co2,no2,sootA,sootM
494158980,144,32,19,288
494158981,294,37,14,281
494158982,56,45,25,364
494158983,248,30,13,183
494158984,47,39,23,98
494158985,19,45,20,435
494158986,370,39,14,37
494158987,424,40,21,302
494158988,463,41,17,140
494158989,24,31,17,225
494158990,358,45,17,438
494158991,411,42,15,40
494158992,271,34,23,49
494158993,116,41,20,412
494158994,284,43,25,469
494158995,396,37,24,53
494158996,1,35,12,246
494158997,473,40,21,181
494158998,200,32,17,73
494158999,237,35,12,441
494159000,100,42,17,303
494159001,336,39,15,150
494159002,394,30,14,146
494159003,310,41,13,205
494159004,242,43,12,160
494159005,114,34,12,295
494159006,472,31,17,347
494159007,161,35,16,245
494159008,422,34,14,48
494159009,73,35,18,194
494159010,240,34,21,285
494159011,128,32,13,300
494159012,144,32,19,288
494159013,294,37,14,281
494159014,56,45,25,364
494159015,248,30,13,183
494159016,47,39,23,98
494159017,19,45,20,435
494159018,370,39,14,37
494159019,424,40,21,302
494159020,463,41,17,140
494159021,24,31,17,225
494159022,358,45,17,438
494159023,411,42,15,40
494159024,271,34,23,49
494159025,116,41,20,412
494159026,284,43,25,469
494159027,396,37,24,53
494159028,1,35,12,246
494159029,473,40,21,181
494159030,200,32,17,73
494159031,237,35,12,441
494159032,100,42,17,303
494159033,336,39,15,150
494159034,394,30,14,146
494159035,310,41,13,205
494159036,242,43,12,160
494159037,114,34,12,295
494159038,472,31,17,347
494159039,161,35,16,245
494159040,422,34,14,48
494159041,73,35,18,194
494159042,240,34,21,285
494159043,128,32,13,300
494159044,144,32,19,288
494159045,294,37,14,281
494159046,56,45,25,364
494159047,248,30,13,183
494159048,47,39,23,98
494159049,19,45,20,435
494159050,370,39,14,37
494159051,424,40,21,302
494159052,463,41,17,140
494159053,24,31,17,225
494159054,358,45,17,438
494159055,411,42,15,40
494159056,271,34,23,49
494159057,116,41,20,412
494159058,284,43,25,469
494159059,396,37,24,53
494159060,1,35,12,246
494159061,473,40,21,181
494159062,200,32,17,73
494159063,237,35,12,441
494159064,100,42,17,303
494159065,336,39,15,150
494159066,394,30,14,146
494159067,310,41,13,205
494159068,242,43,12,160
494159069,114,34,12,295
494159070,472,31,17,347
494159071,161,35,16,245
494159072,422,34,14,48
494159073,73,35,18,194
494159074,240,34,21,285
494159075,128,32,13,300
494159076,144,32,19,288
494159077,294,37,14,281
494159078,56,45,25,364
494159079,248,30,13,183
494159080,47,39,23,98
494159081,19,45,20,435
494159082,370,39,14,37
494159083,424,40,21,302
494159084,463,41,17,140
494159085,24,31,17,225
494159086,358,45,17,438
494159087,411,42,15,40
494159088,271,34,23,49
494159089,116,41,20,412
494159090,284,43,25,469
494159091,396,37,24,53
494159092,1,35,12,246
494159093,473,40,21,181
494159094,200,32,17,73
494159095,237,35,12,441
494159096,100,42,17,303
494159097,336,39,15,150
494159098,394,30,14,146
494159099,310,41,13,205
494159100,242,43,12,160
494159101,114,34,12,295
494159102,472,31,17,347
494159103,161,35,16,245
494159104,422,34,14,48
494159105,73,35,18,194
494159106,240,34,21,285
494159107,128,32,13,300
494159108,144,32,19,288
494159109,294,37,14,281
494159110,56,45,25,364
494159111,248,30,13,183
494159112,47,39,23,98
494159113,19,45,20,435
494159114,370,39,14,37
494159115,424,40,21,302
494159116,463,41,17,140
494159117,24,31,17,225
494159118,358,45,17,438
494159119,411,42,15,40
494159120,271,34,23,49
494159121,116,41,20,412
494159122,284,43,25,469
494159123,396,37,24,53
494159124,1,35,12,246
494159125,473,40,21,181
494159126,200,32,17,73
494159127,237,35,12,441
494159128,100,42,17,303
494159129,336,39,15,150
494159130,394,30,14,146
494159131,310,41,13,205
494159132,242,43,12,160
494159133,114,34,12,295
494159134,472,31,17,347
494159135,161,35,16,245
494159136,422,34,14,48
494159137,73,35,18,194
494159138,240,34,21,285
494159139,128,32,13,300
494159140,144,32,19,288
494159141,294,37,14,281
494159142,56,45,25,364
494159143,248,30,13,183
494159144,47,39,23,98
494159145,19,45,20,435
494159146,370,39,14,37
494159147,424,40,21,302
494159148,463,41,17,140
494159149,24,31,17,225
494159150,358,45,17,438
494159151,411,42,15,40
494159152,271,34,23,49
494159153,116,41,20,412
494159154,284,43,25,469
494159155,396,37,24,53
494159156,1,35,12,246
494159157,473,40,21,181
494159158,200,32,17,73
494159159,237,35,12,441
494159160,100,42,17,303
494159161,336,39,15,150
494159162,394,30,14,146
494159163,310,41,13,205
494159164,242,43,12,160
494159165,114,34,12,295
494159166,472,31,17,347
494159167,161,35,16,245
494159168,422,34,14,48
494159169,73,35,18,194
494159170,240,34,21,285
494159171,128,32,13,300
494159172,144,32,19,288
494159173,294,37,14,281
494159174,56,45,25,364
494159175,248,30,13,183
494159176,47,39,23,98
494159177,19,45,20,435
494159178,370,39,14,37
494159179,424,40,21,302
494159180,463,41,17,140
494159181,24,31,17,225
494159182,358,45,17,438
494159183,411,42,15,40
494159184,271,34,23,49
494159185,116,41,20,412
494159186,284,43,25,469
494159187,396,37,24,53
494159188,1,35,12,246
494159189,473,40,21,181
494159190,200,32,17,73
494159191,237,35,12,441
494159192,100,42,17,303
494159193,336,39,15,150
494159194,394,30,14,146
494159195,310,41,13,205
494159196,242,43,12,160
494159197,114,34,12,295
494159198,472,31,17,347
494159199,161,35,16,245
494159200,422,34,14,48
494159201,73,35,18,194
494159202,240,34,21,285
494159203,128,32,13,300
494159204,144,32,19,288
494159205,294,37,14,281
494159206,56,45,25,364
494159207,248,30,13,183
494159208,47,39,23,98
494159209,19,45,20,435
494159210,370,39,14,37
494159211,424,40,21,302
494159212,463,41,17,140
494159213,24,31,17,225
494159214,358,45,17,438
494159215,411,42,15,40
494159216,271,34,23,49
494159217,116,41,20,412
494159218,284,43,25,469
494159219,396,37,24,53
494159220,1,35,12,246
494159221,473,40,21,181
494159222,200,32,17,73
494159223,237,35,12,441
494159224,100,42,17,303
494159225,336,39,15,150
494159226,394,30,14,146
494159227,310,41,13,205
494159228,242,43,12,160
494159229,114,34,12,295
494159230,472,31,17,347
494159231,161,35,16,245
494159232,422,34,14,48
494159233,73,35,18,194
494159234,240,34,21,285
494159235,128,32,13,300
494159236,144,32,19,288
494159237,294,37,14,281
494159238,56,45,25,364
494159239,248,30,13,183
494159240,47,39,23,98
494159241,19,45,20,435
494159242,370,39,14,37
494159243,424,40,21,302
494159244,463,41,17,140
494159245,24,31,17,225
494159246,358,45,17,438
494159247,411,42,15,40
494159248,271,34,23,49
494159249,116,41,20,412
494159250,284,43,25,469
494159251,396,37,24,53
494159252,1,35,12,246
494159253,473,40,21,181
494159254,200,32,17,73
494159255,237,35,12,441
494159256,100,42,17,303
494159257,336,39,15,150
494159258,394,30,14,146
494159259,310,41,13,205
494159260,242,43,12,160
494159261,114,34,12,295
494159262,472,31,17,347
494159263,161,35,16,245
494159264,422,34,14,48
494159265,73,35,18,194
494159266,240,34,21,285
494159267,128,32,13,300
494159268,144,32,19,288
494159269,294,37,14,281
494159270,56,45,25,364
494159271,248,30,13,183
494159272,47,39,23,98
494159273,19,45,20,435
494159274,370,39,14,37
494159275,424,40,21,302
494159276,463,41,17,140
494159277,24,31,17,225
494159278,358,45,17,438
494159279,411,42,15,40
494159280,271,34,23,49
494159281,116,41,20,412
494159282,284,43,25,469
494159283,396,37,24,53
494159284,1,35,12,246
494159285,473,40,21,181
494159286,200,32,17,73
494159287,237,35,12,441
494159288,100,42,17,303
494159289,336,39,15,150
494159290,394,30,14,146
494159291,310,41,13,205
494159292,242,43,12,160
494159293,114,34,12,295
494159294,472,31,17,347
494159295,161,35,16,245
494159296,422,34,14,48
494159297,73,35,18,194
494159298,240,34,21,285
494159299,128,32,13,300
494159300,144,32,19,288
494159301,294,37,14,281
494159302,56,45,25,364
494159303,248,30,13,183
494159304,47,39,23,98
494159305,19,45,20,435
494159306,370,39,14,37
494159307,424,40,21,302
494159308,463,41,17,140
494159309,24,31,17,225
494159310,358,45,17,438
494159311,411,42,15,40
494159312,271,34,23,49
494159313,116,41,20,412
494159314,284,43,25,469
494159315,396,37,24,53
494159316,1,35,12,246
494159317,473,40,21,181
494159318,200,32,17,73
494159319,237,35,12,441
494159320,100,42,17,303
494159321,336,39,15,150
494159322,394,30,14,146
494159323,310,41,13,205
494159324,242,43,12,160
494159325,114,34,12,295
494159326,472,31,17,347
494159327,161,35,16,245
494159328,422,34,14,48
494159329,73,35,18,194
494159330,240,34,21,285
494159331,128,32,13,300
494159332,144,32,19,288
494159333,294,37,14,281
494159334,56,45,25,364
494159335,248,30,13,183
494159336,47,39,23,98
494159337,19,45,20,435
494159338,370,39,14,37
494159339,424,40,21,302
494159340,463,41,17,140
494159341,24,31,17,225
494159342,358,45,17,438
494159343,411,42,15,40
494159344,271,34,23,49
494159345,116,41,20,412
494159346,284,43,25,469
494159347,396,37,24,53
494159348,1,35,12,246
494159349,473,40,21,181
494159350,200,32,17,73
494159351,237,35,12,441
494159352,100,42,17,303
494159353,336,39,15,150
494159354,394,30,14,146
494159355,310,41,13,205
494159356,242,43,12,160
494159357,114,34,12,295
494159358,472,31,17,347
494159359,161,35,16,245
494159360,422,34,14,48
494159361,73,35,18,194
494159362,240,34,21,285
494159363,128,32,13,300
494159364,144,32,19,288
494159365,294,37,14,281
494159366,56,45,25,364
494159367,248,30,13,183
494159368,47,39,23,98
494159369,19,45,20,435
494159370,370,39,14,37
494159371,424,40,21,302
494159372,463,41,17,140
494159373,24,31,17,225
494159374,358,45,17,438
494159375,411,42,15,40
494159376,271,34,23,49
494159377,116,41,20,412
494159378,284,43,25,469
494159379,396,37,24,53
494159380,1,35,12,246
494159381,473,40,21,181
494159382,200,32,17,73
494159383,237,35,12,441
494159384,100,42,17,303
494159385,336,39,15,150
494159386,394,30,14,146
494159387,310,41,13,205
494159388,242,43,12,160
494159389,114,34,12,295
494159390,472,31,17,347
494159391,161,35,16,245
494159392,422,34,14,48
494159393,73,35,18,194
494159394,240,34,21,285
494159395,128,32,13,300
494159396,144,32,19,288
494159397,294,37,14,281
494159398,56,45,25,364
494159399,248,30,13,183
494159400,47,39,23,98
494159401,19,45,20,435
494159402,370,39,14,37
494159403,424,40,21,302
494159404,463,41,17,140
494159405,24,31,17,225
494159406,358,45,17,438
494159407,411,42,15,40
494159408,271,34,23,49
494159409,116,41,20,412
494159410,284,43,25,469
494159411,396,37,24,53
494159412,1,35,12,246
494159413,473,40,21,181
494159414,200,32,17,73
494159415,237,35,12,441
494159416,100,42,17,303
494159417,336,39,15,150
494159418,394,30,14,146
494159419,310,41,13,205
494159420,242,43,12,160
494159421,114,34,12,295
494159422,472,31,17,347
494159423,161,35,16,245
494159424,422,34,14,48
494159425,73,35,18,194
494159426,240,34,21,285
494159427,128,32,13,300
494159428,144,32,19,288
494159429,294,37,14,281
494159430,56,45,25,364
494159431,248,30,13,183
494159432,47,39,23,98
494159433,19,45,20,435
494159434,370,39,14,37
494159435,424,40,21,302
494159436,463,41,17,140
494159437,24,31,17,225
494159438,358,45,17,438
494159439,411,42,15,40
494159440,271,34,23,49
494159441,116,41,20,412
494159442,284,43,25,469
494159443,396,37,24,53
494159444,1,35,12,246
494159445,473,40,21,181
494159446,200,32,17,73
494159447,237,35,12,441
494159448,100,42,17,303
494159449,336,39,15,150
494159450,394,30,14,146
494159451,310,41,13,205
494159452,242,43,12,160
494159453,114,34,12,295
494159454,472,31,17,347
494159455,161,35,16,245
494159456,422,34,14,48
494159457,73,35,18,194
494159458,240,34,21,285
494159459,128,32,13,300
494159460,144,32,19,288
494159461,294,37,14,281
494159462,56,45,25,364
494159463,248,30,13,183
494159464,47,39,23,98
494159465,19,45,20,435
494159466,370,39,14,37
494159467,424,40,21,302
494159468,463,41,17,140
494159469,24,31,17,225
494159470,358,45,17,438
494159471,411,42,15,40
494159472,271,34,23,49
494159473,116,41,20,412
494159474,284,43,25,469
494159475,396,37,24,53
494159476,1,35,12,246
494159477,473,40,21,181
494159478,200,32,17,73
494159479,237,35,12,441
494159480,100,42,17,303
494159481,336,39,15,150
494159482,394,30,14,146
494159483,310,41,13,205
494159484,242,43,12,160
494159485,114,34,12,295
494159486,472,31,17,347
494159487,161,35,16,245
494159488,422,34,14,48
494159489,73,35,18,194
494159490,240,34,21,285
494159491,128,32,13,300
494159492,144,32,19,288
494159493,294,37,14,281
494159494,56,45,25,364
494159495,248,30,13,183
494159496,47,39,23,98
494159497,19,45,20,435
494159498,370,39,14,37
494159499,424,40,21,302
494159500,463,41,17,140
494159501,24,31,17,225
494159502,358,45,17,438
494159503,411,42,15,40
494159504,271,34,23,49
494159505,116,41,20,412
494159506,284,43,25,469
494159507,396,37,24,53
494159508,1,35,12,246
494159509,473,40,21,181
494159510,200,32,17,73
494159511,237,35,12,441
494159512,100,42,17,303
494159513,336,39,15,150
494159514,394,30,14,146
494159515,310,41,13,205
494159516,242,43,12,160
494159517,114,34,12,295
494159518,472,31,17,347
494159519,161,35,16,245
494159520,422,34,14,48
494159521,73,35,18,194
494159522,240,34,21,285
494159523,128,32,13,300
494159524,144,32,19,288
494159525,294,37,14,281
494159526,56,45,25,364
494159527,248,30,13,183
494159528,47,39,23,98
494159529,19,45,20,435
494159530,370,39,14,37
494159531,424,40,21,302
494159532,463,41,17,140
494159533,24,31,17,225
494159534,358,45,17,438
494159535,411,42,15,40
494159536,271,34,23,49
494159537,116,41,20,412
494159538,284,43,25,469
494159539,396,37,24,53
494159540,1,35,12,246
494159541,473,40,21,181
494159542,200,32,17,73
494159543,237,35,12,441
494159544,100,42,17,303
494159545,336,39,15,150
494159546,394,30,14,146
494159547,310,41,13,205
494159548,242,43,12,160
494159549,114,34,12,295
494159550,472,31,17,347
494159551,161,35,16,245
494159552,422,34,14,48
494159553,73,35,18,194
494159554,240,34,21,285
494159555,128,32,13,300
494159556,144,32,19,288
494159557,294,37,14,281
494159558,56,45,25,364
494159559,248,30,13,183
494159560,47,39,23,98
494159561,19,45,20,435
494159562,370,39,14,37
494159563,424,40,21,302
494159564,463,41,17,140
494159565,24,31,17,225
494159566,358,45,17,438
494159567,411,42,15,40
494159568,271,34,23,49
494159569,116,41,20,412
494159570,284,43,25,469
494159571,396,37,24,53
494159572,1,35,12,246
494159573,473,40,21,181
494159574,200,32,17,73
494159575,237,35,12,441
494159576,100,42,17,303
494159577,336,39,15,150
494159578,394,30,14,146
494159579,310,41,13,205
494159580,242,43,12,160
494159581,114,34,12,295
494159582,472,31,17,347
494159583,161,35,16,245
494159584,422,34,14,48
494159585,73,35,18,194
494159586,240,34,21,285
494159587,128,32,13,300
494159588,144,32,19,288
494159589,294,37,14,281
494159590,56,45,25,364
494159591,248,30,13,183
494159592,47,39,23,98
494159593,19,45,20,435
494159594,370,39,14,37
494159595,424,40,21,302
494159596,463,41,17,140
494159597,24,31,17,225
494159598,358,45,17,438
494159599,411,42,15,40
494159600,271,34,23,49
494159601,116,41,20,412
494159602,284,43,25,469
494159603,396,37,24,53
494159604,1,35,12,246
494159605,473,40,21,181
494159606,200,32,17,73
494159607,237,35,12,441
494159608,100,42,17,303
494159609,336,39,15,150
494159610,394,30,14,146
494159611,310,41,13,205
494159612,242,43,12,160
494159613,114,34,12,295
494159614,472,31,17,347
494159615,161,35,16,245
494159616,422,34,14,48
494159617,73,35,18,194
494159618,240,34,21,285
494159619,128,32,13,300
494159620,144,32,19,288
494159621,294,37,14,281
494159622,56,45,25,364
494159623,248,30,13,183
494159624,47,39,23,98
494159625,19,45,20,435
494159626,370,39,14,37
494159627,424,40,21,302
494159628,463,41,17,140
494159629,24,31,17,225
494159630,358,45,17,438
494159631,411,42,15,40
494159632,271,34,23,49
494159633,116,41,20,412
494159634,284,43,25,469
494159635,396,37,24,53
494159636,1,35,12,246
494159637,473,40,21,181
494159638,200,32,17,73
494159639,237,35,12,441
494159640,100,42,17,303
494159641,336,39,15,150
494159642,394,30,14,146
494159643,310,41,13,205
494159644,242,43,12,160
494159645,114,34,12,295
494159646,472,31,17,347
494159647,161,35,16,245
494159648,422,34,14,48
494159649,73,35,18,194
494159650,240,34,21,285
494159651,128,32,13,300
494159652,144,32,19,288
494159653,294,37,14,281
494159654,56,45,25,364
494159655,248,30,13,183
494159656,47,39,23,98
494159657,19,45,20,435
494159658,370,39,14,37
494159659,424,40,21,302
494159660,463,41,17,140
494159661,24,31,17,225
494159662,358,45,17,438
494159663,411,42,15,40
494159664,271,34,23,49
494159665,116,41,20,412
494159666,284,43,25,469
494159667,396,37,24,53
494159668,1,35,12,246
494159669,473,40,21,181
494159670,200,32,17,73
494159671,237,35,12,441
494159672,100,42,17,303
494159673,336,39,15,150
494159674,394,30,14,146
494159675,310,41,13,205
494159676,242,43,12,160
494159677,114,34,12,295
494159678,472,31,17,347
494159679,161,35,16,245
494159680,422,34,14,48
494159681,73,35,18,194
494159682,240,34,21,285
494159683,128,32,13,300
494159684,144,32,19,288
494159685,294,37,14,281
494159686,56,45,25,364
494159687,248,30,13,183
494159688,47,39,23,98
494159689,19,45,20,435
494159690,370,39,14,37
494159691,424,40,21,302
494159692,463,41,17,140
494159693,24,31,17,225
494159694,358,45,17,438
494159695,411,42,15,40
494159696,271,34,23,49
494159697,116,41,20,412
494159698,284,43,25,469
494159699,396,37,24,53
494159700,1,35,12,246
494159701,473,40,21,181
494159702,200,32,17,73
494159703,237,35,12,441
494159704,100,42,17,303
494159705,336,39,15,150
494159706,394,30,14,146
494159707,310,41,13,205
494159708,242,43,12,160
494159709,114,34,12,295
494159710,472,31,17,347
494159711,161,35,16,245
494159712,422,34,14,48
494159713,73,35,18,194
494159714,240,34,21,285
494159715,128,32,13,300
494159716,144,32,19,288
494159717,294,37,14,281
494159718,56,45,25,364
494159719,248,30,13,183
494159720,47,39,23,98
494159721,19,45,20,435
494159722,370,39,14,37
494159723,424,40,21,302
494159724,463,41,17,140
494159725,24,31,17,225
494159726,358,45,17,438
494159727,411,42,15,40
494159728,271,34,23,49
494159729,116,41,20,412
494159730,284,43,25,469
494159731,396,37,24,53
494159732,1,35,12,246
494159733,473,40,21,181
494159734,200,32,17,73
494159735,237,35,12,441
494159736,100,42,17,303
494159737,336,39,15,150
494159738,394,30,14,146
494159739,310,41,13,205
494159740,242,43,12,160
494159741,114,34,12,295
494159742,472,31,17,347
494159743,161,35,16,245
494159744,422,34,14,48
494159745,73,35,18,194
494159746,240,34,21,285
494159747,128,32,13,300
494159748,144,32,19,288
494159749,294,37,14,281
494159750,56,45,25,364
494159751,248,30,13,183
494159752,47,39,23,98
494159753,19,45,20,435
494159754,370,39,14,37
494159755,424,40,21,302
494159756,463,41,17,140
494159757,24,31,17,225
494159758,358,45,17,438
494159759,411,42,15,40
494159760,271,34,23,49
494159761,116,41,20,412
494159762,284,43,25,469
494159763,396,37,24,53
494159764,1,35,12,246
494159765,473,40,21,181
494159766,200,32,17,73
494159767,237,35,12,441
494159768,100,42,17,303
494159769,336,39,15,150
494159770,394,30,14,146
494159771,310,41,13,205
494159772,242,43,12,160
494159773,114,34,12,295
494159774,472,31,17,347
494159775,161,35,16,245
494159776,422,34,14,48
494159777,73,35,18,194
494159778,240,34,21,285
494159779,128,32,13,300
494159780,144,32,19,288
494159781,294,37,14,281
494159782,56,45,25,364
494159783,248,30,13,183
494159784,47,39,23,98
494159785,19,45,20,435
494159786,370,39,14,37
494159787,424,40,21,302
494159788,463,41,17,140
494159789,24,31,17,225
494159790,358,45,17,438
494159791,411,42,15,40
494159792,271,34,23,49
494159793,116,41,20,412
494159794,284,43,25,469
494159795,396,37,24,53
494159796,1,35,12,246
494159797,473,40,21,181
494159798,200,32,17,73
494159799,237,35,12,441
494159800,100,42,17,303
494159801,336,39,15,150
494159802,394,30,14,146
494159803,310,41,13,205
494159804,242,43,12,160
494159805,114,34,12,295
494159806,472,31,17,347
494159807,161,35,16,245
494159808,422,34,14,48
494159809,73,35,18,194
494159810,240,34,21,285
494159811,128,32,13,300
494159812,144,32,19,288
494159813,294,37,14,281
494159814,56,45,25,364
494159815,248,30,13,183
494159816,47,39,23,98
494159817,19,45,20,435
494159818,370,39,14,37
494159819,424,40,21,302
494159820,463,41,17,140
494159821,24,31,17,225
494159822,358,45,17,438
494159823,411,42,15,40
494159824,271,34,23,49
494159825,116,41,20,412
494159826,284,43,25,469
494159827,396,37,24,53
494159828,1,35,12,246
494159829,473,40,21,181
494159830,200,32,17,73
494159831,237,35,12,441
494159832,100,42,17,303
494159833,336,39,15,150
494159834,394,30,14,146
494159835,310,41,13,205
494159836,242,43,12,160
494159837,114,34,12,295
494159838,472,31,17,347
494159839,161,35,16,245
494159840,422,34,14,48
494159841,73,35,18,194
494159842,240,34,21,285
494159843,128,32,13,300
494159844,144,32,19,288
494159845,294,37,14,281
494159846,56,45,25,364
494159847,248,30,13,183
494159848,47,39,23,98
494159849,19,45,20,435
494159850,370,39,14,37
494159851,424,40,21,302
494159852,463,41,17,140
494159853,24,31,17,225
494159854,358,45,17,438
494159855,411,42,15,40
494159856,271,34,23,49
494159857,116,41,20,412
494159858,284,43,25,469
494159859,396,37,24,53
494159860,1,35,12,246
494159861,473,40,21,181
494159862,200,32,17,73
494159863,237,35,12,441
494159864,100,42,17,303
494159865,336,39,15,150
494159866,394,30,14,146
494159867,310,41,13,205
494159868,242,43,12,160
494159869,114,34,12,295
494159870,472,31,17,347
494159871,161,35,16,245
494159872,422,34,14,48
494159873,73,35,18,194
494159874,240,34,21,285
494159875,128,32,13,300
494159876,144,32,19,288
494159877,294,37,14,281
494159878,56,45,25,364
494159879,248,30,13,183
494159880,47,39,23,98
494159881,19,45,20,435
494159882,370,39,14,37
494159883,424,40,21,302
494159884,463,41,17,140
494159885,24,31,17,225
494159886,358,45,17,438
494159887,411,42,15,40
494159888,271,34,23,49
494159889,116,41,20,412
494159890,284,43,25,469
494159891,396,37,24,53
494159892,1,35,12,246
494159893,473,40,21,181
494159894,200,32,17,73
494159895,237,35,12,441
494159896,100,42,17,303
494159897,336,39,15,150
494159898,394,30,14,146
494159899,310,41,13,205
494159900,242,43,12,160
494159901,114,34,12,295
494159902,472,31,17,347
494159903,161,35,16,245
494159904,422,34,14,48
494159905,73,35,18,194
494159906,240,34,21,285
494159907,128,32,13,300
494159908,144,32,19,288
494159909,294,37,14,281
494159910,56,45,25,364
494159911,248,30,13,183
494159912,47,39,23,98
494159913,19,45,20,435
494159914,370,39,14,37
494159915,424,40,21,302
494159916,463,41,17,140
494159917,24,31,17,225
494159918,358,45,17,438
494159919,411,42,15,40
494159920,271,34,23,49
494159921,116,41,20,412
494159922,284,43,25,469
494159923,396,37,24,53
494159924,1,35,12,246
494159925,473,40,21,181
494159926,200,32,17,73
494159927,237,35,12,441
494159928,100,42,17,303
494159929,336,39,15,150
494159930,394,30,14,146
494159931,310,41,13,205
494159932,242,43,12,160
494159933,114,34,12,295
494159934,472,31,17,347
494159935,161,35,16,245
494159936,422,34,14,48
494159937,73,35,18,194
494159938,240,34,21,285
494159939,128,32,13,300
494159940,144,32,19,288
494159941,294,37,14,281
